N,Avocado,Mangoes ,Oranges ,Papaya ,,,,,,,,,,
688,,4,4,1,,,,,,,,,,
689,,4,4,0,,,,,,,,,,
690,,4,4,1,,,,,,,,,,
691,,4,7,1,,,,,,,,,,
692,,4,2,0,,,,,,,,,,
693,,4,4,1,,,,,,,,,,
694,,4,2,1,,,,,,,,,,
695,,4,3,0,,,,,,,,,,
696,,4,6,0,,,,,,,,,,
697,,4,4,1,,,,,,,,,,
698,,1,4,3,,,,,,,,,,
699,,1,3,2,,,,,,,,,,
700,,1,4,1,,,,,,,,,,
701,,1,3,1,,,,,,,,,,
702,,1,4,1,,,,,,,,,,
703,,1,4,1,,,,,,,,,,
704,,1,4,1,,,,,,,,,,
705,,1,3,1,,,,,,,,,,
706,,1,7,1,,,,,,,,,,
707,,1,4,1,,,,,,,,,,
708,,1,4,1,,,,,,,,,,
709,,1,3,1,,,,,,,,,,
710,,1,4,1,,,,,,,,,,
711,,1,3,1,,,,,,,,,,
712,,0,4,1,,,,,,,,,,
713,,0,5,1,,,,,,,,,,
714,,1,5,1,,,,,,,,,,
715,,1,5,1,,,,,,,,,,
716,,0,4,1,,,,,,,,,,
717,,2,6,1,,,,,,,,,,
718,,2,3,0,,,,,,,,,,
719,,2,4,1,,,,,,,,,,
720,,2,3,1,,,,,,,,,,
721,,1,4,1,,,,,,,,,,
722,,1,3,2,,,,,,,,,,
723,,0,3,4,,,,,,,,,,
724,,1,3,3,,,,,,,,,,
725,,3,3,1,,,,,,,,,,
726,,4,4,1,,,,,,,,,,
727,,3,6,1,,,,,,,,,,
728,,4,5,1,,,,,,,,,,
729,,3,4,3,,,,,,,,,,
730,,4,4,0,,,,,,,,,,
731,,0,5,1,,,,,,,,,,
732,,0,2,2,,,,,,,,,,
